Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
WR,Keelan Cole (15287298),Keelan Cole,15287298,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
WR,Laviska Shenault Jr. (15287302),Laviska Shenault Jr.,15287302,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
WR,Isaiah Ford (15287304),Isaiah Ford,15287304,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
WR,Ricardo Louis (15287310),Ricardo Louis,15287310,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
WR,Collin Johnson (15287312),Collin Johnson,15287312,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
WR,Mack Hollins (15287316),Mack Hollins,15287316,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
WR,Terry Godwin (15287320),Terry Godwin,15287320,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
WR,Gary Jennings (15287324),Gary Jennings,15287324,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
WR,Michael Walker (15287328),Michael Walker,15287328,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
WR,Malcolm Perry (15287334),Malcolm Perry,15287334,WR/FLEX,3000,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
TE,Durham Smythe (15287346),Durham Smythe,15287346,TE/FLEX,2900,MIA@JAX 09/05/2020 12:00PM ET,MIA,2.3
DST,Jaguars  (15287379),Jaguars ,15287379,DST,2800,MIA@JAX 09/05/2020 12:00PM ET,JAX,6
TE,Ryan Izzo (15287348),Ryan Izzo,15287348,TE/FLEX,2700,HOU@NE 09/05/2020 02:00PM ET,NE,1.7
DST,Texans  (15287380),Texans ,15287380,DST,2700,HOU@NE 09/05/2020 02:00PM ET,HOU,2.67
TE,Jordan Akins (15287350),Jordan Akins,15287350,TE/FLEX,2600,HOU@NE 09/05/2020 02:00PM ET,HOU,1.2
TE,Jordan Thomas (15287356),Jordan Thomas,15287356,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,HOU,0
TE,Dalton Keene (15287360),Dalton Keene,15287360,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,NE,0
TE,Kahale Warring (15287362),Kahale Warring,15287362,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,HOU,0
TE,Alex Ellis (15287366),Alex Ellis,15287366,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,NE,0
TE,Jon Weeks (15287372),Jon Weeks,15287372,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,HOU,0
TE,Joe Cardona (15287374),Joe Cardona,15287374,TE/FLEX,2500,HOU@NE 09/05/2020 02:00PM ET,NE,0
TE,James O'Shaughnessy (15287352),James O'Shaughnessy,15287352,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
TE,Adam Shaheen (15287354),Adam Shaheen,15287354,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
TE,Josh Oliver (15287358),Josh Oliver,15287358,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
TE,Tyler Davis (15287364),Tyler Davis,15287364,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
TE,Blake Ferguson (15287368),Blake Ferguson,15287368,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,MIA,0
TE,Charles Jones (15287370),Charles Jones,15287370,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
TE,Matt Orzech (15287376),Matt Orzech,15287376,TE/FLEX,2500,MIA@JAX 09/05/2020 12:00PM ET,JAX,0
DST,Dolphins  (15287381),Dolphins ,15287381,DST,2500,MIA@JAX 09/05/2020 12:00PM ET,MIA,2.33
