Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SG,David Nwaba (14868001),David Nwaba,14868001,CPT,1800,HOU@DAL 07/31/2020 09:00PM ET,HOU,11.01
PF/C,Bruno Caboclo (14867963),Bruno Caboclo,14867963,UTIL,1600,HOU@DAL 07/31/2020 09:00PM ET,HOU,7.82
SF,William Howard (14868002),William Howard,14868002,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,1.75
PG,Trey Burke (14868003),Trey Burke,14868003,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,11.53
SF/PF,Justin Jackson (14868004),Justin Jackson,14868004,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,11.04
C,Dwight Powell (14868005),Dwight Powell,14868005,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,21.22
PF/C,DeMarre Carroll (14868006),DeMarre Carroll,14868006,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,8.11
PG,Chris Clemons (14868007),Chris Clemons,14868007,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,8.03
C,Tyson Chandler (14868008),Tyson Chandler,14868008,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,5.75
PG/SG,Michael Frazier (14868009),Michael Frazier,14868009,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,2.91
SG,Antonius Cleveland (14868010),Antonius Cleveland,14868010,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,2.04
PF,Michael Kidd-Gilchrist (14868011),Michael Kidd-Gilchrist,14868011,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,7.16
SG,Josh Reaves (14868012),Josh Reaves,14868012,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,0
PF,Luc Richard Mbah a Moute (14868013),Luc Richard Mbah a Moute,14868013,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,0
PG,Jalen Brunson (14868014),Jalen Brunson,14868014,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,DAL,16.82
PF,Thabo Sefolosha (14868015),Thabo Sefolosha,14868015,CPT,1500,HOU@DAL 07/31/2020 09:00PM ET,HOU,7.75
C,Willie Cauley-Stein (14867964),Willie Cauley-Stein,14867964,UTIL,1400,HOU@DAL 07/31/2020 09:00PM ET,DAL,20.24
SG,David Nwaba (14867965),David Nwaba,14867965,UTIL,1200,HOU@DAL 07/31/2020 09:00PM ET,HOU,11.01
SF,William Howard (14867966),William Howard,14867966,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,1.75
PG,Trey Burke (14867967),Trey Burke,14867967,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,11.53
SF/PF,Justin Jackson (14867968),Justin Jackson,14867968,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,11.04
C,Dwight Powell (14867969),Dwight Powell,14867969,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,21.22
PF/C,DeMarre Carroll (14867970),DeMarre Carroll,14867970,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,8.11
PG,Chris Clemons (14867971),Chris Clemons,14867971,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,8.03
C,Tyson Chandler (14867972),Tyson Chandler,14867972,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,5.75
PG/SG,Michael Frazier (14867973),Michael Frazier,14867973,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,2.91
SG,Antonius Cleveland (14867974),Antonius Cleveland,14867974,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,2.04
PF,Michael Kidd-Gilchrist (14867975),Michael Kidd-Gilchrist,14867975,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,7.16
SG,Josh Reaves (14867976),Josh Reaves,14867976,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,0
PF,Luc Richard Mbah a Moute (14867977),Luc Richard Mbah a Moute,14867977,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,0
PG,Jalen Brunson (14867978),Jalen Brunson,14867978,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,DAL,16.82
PF,Thabo Sefolosha (14867979),Thabo Sefolosha,14867979,UTIL,1000,HOU@DAL 07/31/2020 09:00PM ET,HOU,7.75
